,Cat #01,,,Cat #02,,,Cat #03,,,Cat #04,,,Cat #05,,,Cat #06,,,Cat #07,,,Cat #08,,,Cat #09,,,Cat #10,,
,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar
480,0.09492,0.16583,0.74404,0.12265,0.13334,0.92845,0.078392,0.16766,0.6559,0.10764,0.18226,0.81823,0.096203,0.11131,0.81545,0.059323,0.21806,0.67152,0.13326,0.12048,0.88603,0.091039,0.21551,0.75936,0.11295,0.20099,0.87555,0.10319,0.15243,0.82003
485,0.058604,0.19743,0.55837,0.075727,0.16482,0.70861,0.04666,0.19728,0.49005,0.068716,0.21682,0.6175,0.054257,0.13549,0.61687,0.027184,0.25561,0.50049,0.090064,0.14774,0.67364,0.055343,0.25455,0.5703,0.070908,0.24101,0.66337,0.06264,0.18311,0.61982
490,0.032742,0.23186,0.4125,0.038918,0.19919,0.53029,0.024258,0.23027,0.36205,0.041965,0.25578,0.45693,0.021218,0.16336,0.462,0.0076301,0.295,0.36636,0.057261,0.17786,0.50502,0.030838,0.29475,0.41851,0.040324,0.28214,0.49039,0.030532,0.21743,0.46085
495,0.018575,0.28096,0.31798,0.014536,0.24635,0.41238,0.012078,0.27897,0.27954,0.027324,0.30709,0.35065,-0.0028632,0.20386,0.36521,-0.0027048,0.34641,0.27705,0.03698,0.22134,0.39535,0.017904,0.34756,0.31634,0.022767,0.33596,0.37052,0.011109,0.2657,0.35736
500,0.013426,0.34549,0.24945,-0.0017189,0.30564,0.32177,0.0097301,0.34623,0.22367,0.022287,0.37027,0.27029,-0.01666,0.26459,0.29945,0.0023803,0.41055,0.20871,0.024293,0.28247,0.32047,0.017535,0.40942,0.23922,0.016604,0.39751,0.28134,0.00032496,0.32954,0.28312
505,0.013892,0.42608,0.18838,-0.013834,0.38076,0.24061,0.012157,0.43143,0.17333,0.023519,0.44784,0.19993,-0.030903,0.34531,0.23683,0.013119,0.48277,0.15102,0.016359,0.36172,0.25058,0.02251,0.47995,0.17389,0.017352,0.46811,0.20548,-0.0068227,0.41071,0.21607
510,0.024484,0.51976,0.13855,-0.015895,0.46942,0.17573,0.025096,0.53125,0.12972,0.035895,0.53518,0.14441,-0.03478,0.44586,0.18083,0.036339,0.5629,0.10839,0.015012,0.45879,0.18742,0.037738,0.5575,0.12332,0.027612,0.54639,0.14463,-0.0034154,0.50577,0.15947
515,0.049841,0.62019,0.10759,-0.0035362,0.5672,0.13533,0.051838,0.63887,0.10187,0.063501,0.6304,0.11046,-0.027399,0.56037,0.1443,0.073445,0.6433,0.082927,0.029008,0.56636,0.14546,0.06545,0.63552,0.092925,0.05249,0.62583,0.10699,0.011482,0.61025,0.12386
520,0.083475,0.71736,0.084489,0.019009,0.66191,0.10417,0.088294,0.7431,0.08137,0.096428,0.71803,0.085466,-0.0055573,0.67143,0.11378,0.11759,0.72198,0.065158,0.051729,0.67138,0.11286,0.099219,0.7116,0.072129,0.084795,0.70421,0.081789,0.039039,0.70988,0.096799
525,0.1268,0.79308,0.06734,0.054691,0.73849,0.081207,0.13734,0.82291,0.065641,0.13808,0.78456,0.067296,0.042228,0.76416,0.089358,0.17585,0.78719,0.052475,0.082303,0.75824,0.088068,0.14349,0.77203,0.057504,0.12596,0.76721,0.064216,0.081401,0.7871,0.076382
