,Cat #01,,,Cat #02,,,Cat #03,,,Cat #04,,,Cat #05,,,Cat #06,,,Cat #07,,,Cat #08,,,Cat #09,,,Cat #10,,
,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S
485,0.68726,1.3845,2.563,0.56498,1.2285,3.2702,0.6838,1.3719,2.2437,0.75935,1.514,2.8354,0.4487,1.0436,2.8464,0.86818,1.7738,2.2771,0.52706,1.0769,3.1137,0.88699,1.7476,2.6063,0.8413,1.6819,3.0439,0.63005,1.3206,2.8519
490,0.8046,1.5714,1.8742,0.67422,1.4199,2.4289,0.79712,1.5523,1.6389,0.89448,1.7229,2.0773,0.53513,1.1998,2.116,1.0091,1.9847,1.643,0.62426,1.2394,2.319,1.0278,1.964,1.8891,0.98168,1.9052,2.2271,0.74156,1.5124,2.1013
495,0.98034,1.8517,1.423,0.83444,1.6964,1.8677,0.97181,1.8324,1.2438,1.0796,2.0115,1.5709,0.6681,1.4459,1.6542,1.197,2.2742,1.2161,0.77485,1.4895,1.7975,1.2197,2.2607,1.4018,1.1746,2.208,1.6566,0.90941,1.7934,1.6077
500,1.2183,2.2222,1.0909,1.0437,2.0454,1.4322,1.2209,2.2207,0.97036,1.3149,2.3673,1.1841,0.88124,1.8117,1.3342,1.4461,2.622,0.88663,0.99236,1.8508,1.4352,1.4554,2.6008,1.0311,1.4041,2.5515,1.2289,1.1389,2.1679,1.2482
505,1.5197,2.6838,0.79106,1.3133,2.4881,1.038,1.5394,2.7122,0.71976,1.6079,2.8041,0.8419,1.1653,2.3027,1.0248,1.7294,3.0137,0.60596,1.2802,2.3164,1.0933,1.7269,2.9896,0.71434,1.6724,2.9436,0.86253,1.4341,2.6452,0.91923
510,1.8788,3.2115,0.54249,1.6414,3.0024,0.71846,1.9225,3.2762,0.4993,1.9474,3.2864,0.56855,1.5324,2.8981,0.7437,2.054,3.4368,0.39577,1.6391,2.8818,0.78018,2.0337,3.4087,0.46641,1.9775,3.3717,0.5659,1.7905,3.1921,0.63776
515,2.2771,3.7609,0.38277,2.0158,3.5566,0.51318,2.3478,3.8686,0.35275,2.3302,3.7979,0.39632,1.9603,3.5668,0.55219,2.3936,3.8429,0.26756,2.0511,3.4919,0.56593,2.3541,3.8163,0.3142,2.3008,3.79,0.37929,2.1913,3.7848,0.45378
520,2.6725,4.278,0.26155,2.3901,4.0764,0.35318,2.7717,4.4247,0.24268,2.6907,4.2569,0.26816,2.3925,4.1887,0.39172,2.7344,4.2284,0.17665,2.4629,4.0739,0.39721,2.6732,4.2049,0.208,2.6272,4.1934,0.2519,2.5888,4.327,0.31267
525,3.0015,4.6474,0.17398,2.7138,4.4632,0.23715,3.1222,4.8085,0.16185,2.9847,4.5726,0.17741,2.7896,4.6498,0.26769,3.0431,4.5058,0.11448,2.8177,4.533,0.26971,2.9479,4.4799,0.13539,2.9078,4.4887,0.16456,2.9226,4.7058,0.20946
530,3.288,4.9191,0.11326,3.0111,4.7748,0.1562,3.4208,5.0848,0.10537,3.2545,4.8207,0.11518,3.1373,5.0275,0.17814,3.2903,4.6813,0.073046,3.1353,4.8856,0.17861,3.1758,4.6639,0.086622,3.1467,4.6868,0.10567,3.2186,5.003,0.13717
535,3.5282,5.1011,0.072863,3.274,5.0059,0.10155,3.6619,5.2605,0.06762,3.4985,5.0018,0.074083,3.408,5.2857,0.11611,3.4919,4.7927,0.04637,3.3963,5.1203,0.11614,3.3695,4.7906,0.055208,3.3574,4.8255,0.067513,3.468,5.2116,0.088633
540,3.771,5.2491,0.045888,3.5551,5.2169,0.064821,3.8973,5.3825,0.042491,3.7311,5.1416,0.046748,3.682,5.4816,0.073861,3.7086,4.8917,0.028864,3.6622,5.3301,0.074073,3.5801,4.9079,0.034602,3.5914,4.9632,0.042609,3.721,5.3665,0.056124
545,3.9409,5.269,0.028626,3.7663,5.2938,0.041039,4.0569,5.3615,0.026368,3.8794,5.1477,0.02926,3.9143,5.5298,0.046434,3.8898,4.8978,0.017849,3.8629,5.4244,0.04663,3.7449,4.9235,0.02151,3.7708,4.9966,0.026611,3.9015,5.3703,0.035165
550,4.0384,5.1723,0.017726,3.9182,5.267,0.025796,4.1327,5.2232,0.016243,4,5.0789,0.018189,4.0518,5.477,0.028937,3.9747,4.7879,0.010967,3.9915,5.3788,0.029132,3.8354,4.829,0.013295,3.8747,4.9087,0.016536,4.0147,5.284,0.021872
555,4.1554,5.0722,0.010903,4.0973,5.2351,0.016123,4.2228,5.08,0.0099212,4.1306,4.9947,0.011244,4.1732,5.3983,0.017875,4.052,4.6748,0.0067111,4.1344,5.3153,0.018039,3.9393,4.7377,0.0081739,4.0023,4.8248,0.010214,4.1471,5.1811,0.013503
560,4.2292,4.8736,0.0067193,4.2204,5.0787,0.01007,4.2763,4.8428,0.0060771,4.2101,4.8068,0.0069584,4.2823,5.2085,0.011056,4.1251,4.4939,0.0041178,4.2351,5.1576,0.011176,4.0186,4.5621,0.0050358,4.0933,4.6518,0.0063133,4.2334,4.9687,0.0083478
