,R,G,B
390,7.32E-10,3.66E-09,7.54E-05
391,8.61E-10,4.31E-09,8.86E-05
392,1.01E-09,5.06E-09,0.00010399
393,1.18E-09,5.92E-09,0.00012173
394,1.38E-09,6.91E-09,0.00014216
395,1.61E-09,8.05E-09,0.00016564
396,1.87E-09,9.36E-09,0.00019255
397,2.17E-09,1.09E-08,0.00022331
398,2.51E-09,1.26E-08,0.00025838
399,2.90E-09,1.45E-08,0.00029826
400,3.34E-09,1.67E-08,0.00034349
401,3.84E-09,1.92E-08,0.00039465
402,4.40E-09,2.20E-08,0.00045238
403,5.03E-09,2.52E-08,0.00051735
404,5.74E-09,2.87E-08,0.00059027
405,6.53E-09,3.27E-08,0.0006719
406,7.42E-09,3.71E-08,0.00076303
407,8.40E-09,4.20E-08,0.0008645
408,9.50E-09,4.75E-08,0.00097719
409,1.07E-08,5.36E-08,0.001102
410,1.21E-08,6.03E-08,0.0012398
411,1.35E-08,6.77E-08,0.0013916
412,1.51E-08,7.58E-08,0.0015584
413,1.69E-08,8.47E-08,0.0017411
414,1.89E-08,9.44E-08,0.0019407
415,2.10E-08,1.05E-07,0.0021581
416,2.33E-08,1.16E-07,0.0023943
417,2.58E-08,1.29E-07,0.0026501
418,2.84E-08,1.42E-07,0.0029265
419,3.13E-08,1.57E-07,0.0032241
420,3.44E-08,1.72E-07,0.0035437
421,3.78E-08,1.89E-07,0.0038859
422,4.13E-08,2.07E-07,0.0042512
423,4.51E-08,2.26E-07,0.00464
424,4.91E-08,2.46E-07,0.0050526
425,5.33E-08,2.67E-07,0.005489
426,5.78E-08,2.89E-07,0.0059493
427,6.25E-08,3.13E-07,0.006433
428,6.74E-08,3.37E-07,0.00694
429,7.26E-08,3.63E-07,0.0074694
430,7.79E-08,3.90E-07,0.0080204
431,8.35E-08,4.18E-07,0.008592
432,8.92E-08,4.47E-07,0.0091829
433,9.52E-08,4.76E-07,0.0097916
434,1.01E-07,5.07E-07,0.010416
435,1.07E-07,5.38E-07,0.011055
436,1.14E-07,5.69E-07,0.011706
437,1.20E-07,6.01E-07,0.012365
438,1.27E-07,6.34E-07,0.013032
439,1.33E-07,6.66E-07,0.013703
440,1.40E-07,6.99E-07,0.014374
441,1.46E-07,7.32E-07,0.015043
442,1.53E-07,7.64E-07,0.015707
443,1.59E-07,7.96E-07,0.016362
444,1.65E-07,8.27E-07,0.017004
445,1.71E-07,8.57E-07,0.017631
446,1.77E-07,8.87E-07,0.018237
447,1.83E-07,9.15E-07,0.018821
448,1.88E-07,9.42E-07,0.019378
449,1.93E-07,9.68E-07,0.019905
450,1.98E-07,9.92E-07,0.020399
451,2.03E-07,1.01E-06,0.020857
452,2.07E-07,1.03E-06,0.021274
453,2.10E-07,1.05E-06,0.02165
454,2.14E-07,1.07E-06,0.021981
455,2.16E-07,1.08E-06,0.022265
456,2.19E-07,1.09E-06,0.0225
457,2.20E-07,1.10E-06,0.022685
458,2.22E-07,1.11E-06,0.022817
459,2.23E-07,1.11E-06,0.022897
460,2.23E-07,1.11E-06,0.022924
461,2.23E-07,1.11E-06,0.022897
462,2.22E-07,1.11E-06,0.022817
463,2.20E-07,1.10E-06,0.022685
464,2.19E-07,1.09E-06,0.0225
465,2.16E-07,1.08E-06,0.022265
466,2.14E-07,1.07E-06,0.021981
467,2.10E-07,1.05E-06,0.02165
468,2.07E-07,1.03E-06,0.021274
469,2.03E-07,1.01E-06,0.020857
470,1.98E-07,9.92E-07,0.020399
471,1.93E-07,9.68E-07,0.019905
472,1.88E-07,9.42E-07,0.019378
473,1.83E-07,9.15E-07,0.018821
474,1.77E-07,8.87E-07,0.018237
475,1.71E-07,8.57E-07,0.017631
476,1.65E-07,8.27E-07,0.017004
477,1.59E-07,7.96E-07,0.016362
478,1.53E-07,7.65E-07,0.015707
479,1.46E-07,7.33E-07,0.015043
480,1.40E-07,7.01E-07,0.014374
481,1.33E-07,6.70E-07,0.013703
482,1.27E-07,6.41E-07,0.013032
483,1.20E-07,6.14E-07,0.012365
484,1.14E-07,5.91E-07,0.011706
485,1.07E-07,5.74E-07,0.011055
486,1.01E-07,5.68E-07,0.010416
487,9.52E-08,5.79E-07,0.0097916
488,8.92E-08,6.16E-07,0.0091829
489,8.35E-08,6.93E-07,0.008592
490,7.79E-08,8.35E-07,0.0080204
491,7.26E-08,1.08E-06,0.0074694
492,6.74E-08,1.47E-06,0.00694
493,6.25E-08,2.08E-06,0.006433
494,5.78E-08,3.04E-06,0.0059493
495,5.33E-08,4.49E-06,0.005489
496,4.91E-08,6.68E-06,0.0050526
497,4.51E-08,9.92E-06,0.00464
498,4.13E-08,1.47E-05,0.0042512
499,3.78E-08,2.16E-05,0.0038859
500,3.44E-08,3.15E-05,0.0035437
501,3.13E-08,4.56E-05,0.0032241
502,2.84E-08,6.54E-05,0.0029265
