,R,G,B
390,3.22E-13,2.19E-13,9.55E-05
391,3.76E-13,2.55E-13,0.00011147
392,4.38E-13,2.98E-13,0.00012982
393,5.09E-13,3.47E-13,0.00015086
394,5.90E-13,4.03E-13,0.00017492
395,6.83E-13,4.67E-13,0.00020236
396,7.88E-13,5.41E-13,0.00023359
397,9.08E-13,6.25E-13,0.00026904
398,1.04E-12,7.22E-13,0.00030918
399,1.20E-12,8.34E-13,0.00035451
400,1.37E-12,9.62E-13,0.0004056
401,1.56E-12,1.11E-12,0.00046301
402,1.78E-12,1.28E-12,0.00052737
403,2.02E-12,1.48E-12,0.00059935
404,2.29E-12,1.72E-12,0.00067964
405,2.59E-12,2.01E-12,0.00076896
406,2.93E-12,2.35E-12,0.0008681
407,3.30E-12,2.76E-12,0.00097784
408,3.71E-12,3.28E-12,0.001099
409,4.16E-12,3.92E-12,0.0012324
410,4.65E-12,4.75E-12,0.001379
411,5.19E-12,5.82E-12,0.0015395
412,5.79E-12,7.21E-12,0.001715
413,6.43E-12,9.07E-12,0.0019061
414,7.13E-12,1.15E-11,0.0021139
415,7.89E-12,1.49E-11,0.0023391
416,8.71E-12,1.94E-11,0.0025826
417,9.60E-12,2.56E-11,0.0028451
418,1.05E-11,3.41E-11,0.0031272
419,1.16E-11,4.57E-11,0.0034297
420,1.27E-11,6.17E-11,0.0037531
421,1.38E-11,8.36E-11,0.0040979
422,1.51E-11,1.14E-10,0.0044644
423,1.64E-11,1.55E-10,0.0048529
424,1.78E-11,2.11E-10,0.0052635
425,1.92E-11,2.88E-10,0.0056961
426,2.07E-11,3.94E-10,0.0061506
427,2.24E-11,5.37E-10,0.0066265
428,2.40E-11,7.31E-10,0.0071235
429,2.58E-11,9.93E-10,0.0076406
430,2.76E-11,1.35E-09,0.0081771
431,2.95E-11,1.83E-09,0.0087319
432,3.14E-11,2.47E-09,0.0093035
433,3.34E-11,3.33E-09,0.0098905
434,3.54E-11,4.48E-09,0.010491
435,3.75E-11,6.01E-09,0.011104
436,3.96E-11,8.04E-09,0.011726
437,4.17E-11,1.07E-08,0.012355
438,4.38E-11,1.43E-08,0.012989
439,4.60E-11,1.90E-08,0.013626
440,4.81E-11,2.51E-08,0.014262
441,5.02E-11,3.31E-08,0.014894
442,5.24E-11,4.36E-08,0.01552
443,5.44E-11,5.73E-08,0.016136
444,5.65E-11,7.50E-08,0.01674
445,5.85E-11,9.80E-08,0.017327
446,6.04E-11,1.28E-07,0.017895
447,6.22E-11,1.66E-07,0.018441
448,6.40E-11,2.14E-07,0.018961
449,6.56E-11,2.77E-07,0.019453
450,6.72E-11,3.56E-07,0.019912
451,6.86E-11,4.57E-07,0.020338
452,6.99E-11,5.86E-07,0.020726
453,7.11E-11,7.48E-07,0.021075
454,7.21E-11,9.52E-07,0.021382
455,7.30E-11,1.21E-06,0.021645
456,7.38E-11,1.53E-06,0.021863
457,7.43E-11,1.93E-06,0.022034
458,7.47E-11,2.43E-06,0.022157
459,7.50E-11,3.05E-06,0.022231
460,7.51E-11,3.82E-06,0.022255
461,7.50E-11,4.76E-06,0.022231
462,7.47E-11,5.93E-06,0.022157
463,7.43E-11,7.35E-06,0.022034
464,7.38E-11,9.10E-06,0.021863
465,7.30E-11,1.12E-05,0.021645
466,7.21E-11,1.38E-05,0.021382
467,7.11E-11,1.70E-05,0.021075
468,6.99E-11,2.07E-05,0.020726
469,6.86E-11,2.53E-05,0.020338
470,6.72E-11,3.08E-05,0.019912
471,6.56E-11,3.73E-05,0.019453
472,6.40E-11,4.52E-05,0.018961
473,6.22E-11,5.45E-05,0.018441
474,6.04E-11,6.56E-05,0.017895
475,5.85E-11,7.86E-05,0.017327
476,5.65E-11,9.41E-05,0.01674
477,5.45E-11,0.0001122,0.016136
478,5.24E-11,0.00013345,0.01552
479,5.03E-11,0.00015827,0.014894
480,4.82E-11,0.00018719,0.014262
481,4.60E-11,0.00022075,0.013626
482,4.39E-11,0.00025961,0.01299
483,4.18E-11,0.00030444,0.012355
484,3.97E-11,0.000356,0.011726
485,3.76E-11,0.00041512,0.011104
486,3.56E-11,0.00048268,0.010491
487,3.36E-11,0.00055966,0.0098908
488,3.16E-11,0.00064709,0.0093038
489,2.97E-11,0.00074605,0.0087322
490,2.79E-11,0.00085773,0.0081775
491,2.61E-11,0.00098333,0.007641
492,2.45E-11,0.0011241,0.0071239
493,2.28E-11,0.0012815,0.0066271
494,2.13E-11,0.0014567,0.0061512
495,1.98E-11,0.0016512,0.0056968
496,1.85E-11,0.0018664,0.0052643
497,1.72E-11,0.0021037,0.0048538
498,1.60E-11,0.0023645,0.0044655
499,1.48E-11,0.0026501,0.0040991
500,1.38E-11,0.0029617,0.0037544
501,1.28E-11,0.0033007,0.0034311
502,1.20E-11,0.0036681,0.0031288
503,1.12E-11,0.0040649,0.0028468
504,1.05E-11,0.0044918,0.0025845
505,9.91E-12,0.0049496,0.0023413
506,9.41E-12,0.0054386,0.0021163
507,9.03E-12,0.005959,0.0019087
508,8.78E-12,0.0065108,0.0017178
509,8.69E-12,0.0070936,0.0015426
510,8.78E-12,0.0077067,0.0013823
511,9.13E-12,0.0083492,0.001236
512,9.82E-12,0.0090196,0.0011029
513,1.10E-11,0.0097164,0.00098199
514,1.28E-11,0.010437,0.00087256
515,1.55E-11,0.01118,0.00077374
516,1.95E-11,0.011942,0.00068474
517,2.53E-11,0.01272,0.00060479
518,3.36E-11,0.01351,0.00053315
519,4.57E-11,0.014309,0.00046912
520,6.28E-11,0.015112,0.00041205
521,8.73E-11,0.015915,0.00036132
522,1.22E-10,0.016713,0.00031632
523,1.71E-10,0.017502,0.00027652
524,2.40E-10,0.018276,0.0002414
525,3.37E-10,0.019031,0.00021049
526,4.73E-10,0.019761,0.00018336
527,6.63E-10,0.020461,0.0001596
528,9.27E-10,0.021125,0.00013885
529,1.29E-09,0.02175,0.00012076
530,1.80E-09,0.02233,0.00010504
531,2.50E-09,0.02286,9.14E-05
532,3.45E-09,0.023337,7.96E-05
533,4.76E-09,0.023757,6.94E-05
534,6.55E-09,0.024116,6.06E-05
535,8.97E-09,0.024411,5.31E-05
536,1.23E-08,0.02464,4.66E-05
537,1.67E-08,0.024801,4.10E-05
538,2.26E-08,0.024893,3.62E-05
539,3.06E-08,0.024914,3.21E-05
540,4.13E-08,0.024864,2.86E-05
541,5.55E-08,0.024745,2.56E-05
