,R,G,B
547,0.00012681,0.016339,7.15E-06
548,0.00013496,0.016216,6.65E-06
549,0.00014416,0.016079,6.33E-06
550,0.00015453,0.015929,6.17E-06
551,0.00016622,0.015766,6.17E-06
552,0.00017936,0.015591,6.31E-06
553,0.00019412,0.015403,6.59E-06
554,0.00021066,0.015205,6.99E-06
555,0.00022916,0.014995,7.52E-06
556,0.00024982,0.014775,8.18E-06
557,0.00027285,0.014545,8.96E-06
558,0.00029847,0.014305,9.88E-06
559,0.00032692,0.014057,1.09E-05
560,0.00035844,0.013801,1.21E-05
561,0.00039331,0.013537,1.34E-05
562,0.00043181,0.013267,1.49E-05
563,0.00047422,0.01299,1.66E-05
564,0.00052085,0.012707,1.84E-05
565,0.00057202,0.012419,2.04E-05
566,0.00062807,0.012127,2.26E-05
567,0.00068934,0.011831,2.50E-05
568,0.00075618,0.011532,2.77E-05
569,0.00082894,0.011231,3.05E-05
570,0.00090801,0.010927,3.37E-05
571,0.00099376,0.010622,3.70E-05
572,0.0010866,0.010316,4.07E-05
573,0.0011868,0.01001,4.46E-05
574,0.0012948,0.0097047,4.89E-05
575,0.0014111,0.0094,5.35E-05
576,0.0015358,0.0090966,5.84E-05
577,0.0016695,0.0087951,6.36E-05
578,0.0018125,0.0084959,6.92E-05
579,0.001965,0.0081995,7.52E-05
580,0.0021274,0.0079064,8.16E-05
581,0.0023001,0.0076169,8.84E-05
582,0.0024831,0.0073314,9.55E-05
583,0.0026768,0.0070503,0.00010311
584,0.0028814,0.0067739,0.00011112
585,0.0030969,0.0065025,0.00011955
586,0.0033236,0.0062363,0.00012842
587,0.0035614,0.0059758,0.00013772
588,0.0038103,0.0057209,0.00014745
589,0.0040704,0.0054721,0.00015761
590,0.0043414,0.0052294,0.00016821
591,0.0046233,0.004993,0.00017922
592,0.0049158,0.004763,0.00019064
593,0.0052185,0.0045396,0.00020246
594,0.005531,0.0043228,0.00021466
595,0.0058531,0.0041127,0.00022723
596,0.006184,0.0039094,0.00024015
597,0.0065232,0.0037128,0.00025339
598,0.00687,0.003523,0.00026692
599,0.0072236,0.0033399,0.00028072
600,0.0075833,0.0031636,0.00029475
601,0.0079482,0.0029939,0.00030898
602,0.0083172,0.0028309,0.00032337
603,0.0086893,0.0026744,0.00033788
604,0.0090634,0.0025243,0.00035247
605,0.0094384,0.0023806,0.0003671
606,0.009813,0.0022431,0.0003817
607,0.010186,0.0021118,0.00039625
608,0.010556,0.0019864,0.00041068
609,0.010922,0.0018669,0.00042494
610,0.011282,0.001753,0.00043899
611,0.011636,0.0016447,0.00045276
612,0.011981,0.0015418,0.00046621
613,0.012316,0.0014441,0.00047927
614,0.01264,0.0013515,0.0004919
615,0.012952,0.0012638,0.00050405
616,0.013249,0.0011808,0.00051565
617,0.013532,0.0011023,0.00052667
618,0.013798,0.0010282,0.00053705
619,0.014047,0.00095832,0.00054674
620,0.014277,0.00089247,0.0005557
621,0.014487,0.00083049,0.00056389
622,0.014676,0.0007722,0.00057127
623,0.014844,0.00071744,0.00057781
624,0.014989,0.00066606,0.00058348
625,0.015111,0.00061788,0.00058824
626,0.01521,0.00057276,0.00059208
627,0.015284,0.00053054,0.00059497
628,0.015334,0.00049107,0.00059691
629,0.015358,0.00045421,0.00059788
630,0.015358,0.00041981,0.00059788
631,0.015333,0.00038775,0.00059691
632,0.015283,0.00035789,0.00059497
633,0.015209,0.0003301,0.00059208
634,0.01511,0.00030427,0.00058824
635,0.014988,0.00028028,0.00058348
636,0.014842,0.00025801,0.00057781
637,0.014674,0.00023736,0.00057127
638,0.014484,0.00021823,0.00056389
639,0.014274,0.00020051,0.0005557
640,0.014044,0.00018413,0.00054674
