,R,G,B
565,5.25E-06,0.0067844,8.80E-07
566,6.84E-06,0.006057,8.06E-07
567,8.88E-06,0.0053847,7.47E-07
568,1.15E-05,0.004767,7.05E-07
569,1.48E-05,0.0042023,6.80E-07
570,1.90E-05,0.0036889,6.74E-07
571,2.42E-05,0.0032247,6.89E-07
572,3.08E-05,0.002807,7.29E-07
573,3.90E-05,0.0024331,7.96E-07
574,4.92E-05,0.0021001,8.94E-07
575,6.18E-05,0.0018051,1.03E-06
576,7.73E-05,0.001545,1.21E-06
577,9.63E-05,0.0013168,1.44E-06
578,0.00011943,0.0011176,1.73E-06
579,0.00014757,0.00094456,2.09E-06
580,0.00018161,0.00079494,2.53E-06
581,0.00022257,0.0006662,3.06E-06
582,0.00027165,0.00055596,3.71E-06
583,0.00033021,0.00046201,4.49E-06
584,0.00039973,0.00038232,5.41E-06
585,0.00048191,0.00031505,6.51E-06
586,0.0005786,0.00025852,7.81E-06
587,0.00069184,0.00021124,9.32E-06
588,0.00082386,0.00017188,1.11E-05
589,0.00097704,0.00013927,1.31E-05
590,0.001154,0.00011237,1.55E-05
591,0.0013573,9.03E-05,1.83E-05
592,0.00159,7.22E-05,2.14E-05
593,0.0018548,5.75E-05,2.49E-05
594,0.002155,4.57E-05,2.90E-05
595,0.0024934,3.61E-05,3.35E-05
596,0.0028732,2.84E-05,3.86E-05
597,0.0032972,2.22E-05,4.43E-05
598,0.0037683,1.73E-05,5.07E-05
599,0.004289,1.35E-05,5.77E-05
600,0.0048617,1.04E-05,6.54E-05
601,0.0054883,8.03E-06,7.38E-05
602,0.0061701,6.16E-06,8.29E-05
603,0.0069083,4.70E-06,9.29E-05
604,0.007703,3.58E-06,0.00010355
605,0.008554,2.71E-06,0.00011499
606,0.00946,2.04E-06,0.00012717
607,0.010419,1.53E-06,0.00014006
608,0.011428,1.15E-06,0.00015362
609,0.012484,8.55E-07,0.00016781
610,0.013581,6.34E-07,0.00018256
611,0.014714,4.68E-07,0.00019779
612,0.015876,3.44E-07,0.00021342
613,0.01706,2.52E-07,0.00022933
614,0.018257,1.84E-07,0.00024541
615,0.019457,1.33E-07,0.00026155
616,0.020652,9.65E-08,0.00027761
617,0.02183,6.95E-08,0.00029345
618,0.022981,4.98E-08,0.00030891
619,0.024093,3.56E-08,0.00032386
620,0.025155,2.53E-08,0.00033814
621,0.026156,1.79E-08,0.0003516
622,0.027086,1.26E-08,0.0003641
623,0.027934,8.86E-09,0.00037549
624,0.02869,6.19E-09,0.00038566
625,0.029346,4.31E-09,0.00039447
626,0.029893,2.99E-09,0.00040184
627,0.030326,2.06E-09,0.00040766
628,0.030639,1.42E-09,0.00041187
629,0.030829,9.71E-10,0.00041441
630,0.030892,6.62E-10,0.00041527
631,0.030829,4.49E-10,0.00041441
632,0.030639,3.04E-10,0.00041187
633,0.030326,2.04E-10,0.00040766
634,0.029893,1.37E-10,0.00040184
635,0.029346,9.14E-11,0.00039447
636,0.02869,6.08E-11,0.00038566
637,0.027934,4.02E-11,0.00037549
638,0.027086,2.65E-11,0.0003641
639,0.026156,1.74E-11,0.0003516
640,0.025155,1.14E-11,0.00033814
641,0.024093,7.41E-12,0.00032386
642,0.022981,4.80E-12,0.00030891
643,0.02183,3.10E-12,0.00029345
644,0.020652,2.00E-12,0.00027761
645,0.019457,1.28E-12,0.00026155
646,0.018257,8.20E-13,0.00024541
647,0.01706,5.24E-13,0.00022933
648,0.015876,3.34E-13,0.00021341
649,0.014714,2.13E-13,0.00019779
650,0.013581,1.36E-13,0.00018256
651,0.012484,8.73E-14,0.00016781
652,0.011428,5.64E-14,0.00015362
653,0.010419,3.69E-14,0.00014006
654,0.00946,2.45E-14,0.00012717
655,0.008554,1.67E-14,0.00011499
656,0.007703,1.17E-14,0.00010355
657,0.0069083,8.43E-15,9.29E-05
658,0.0061701,6.29E-15,8.29E-05
659,0.0054883,4.85E-15,7.38E-05
660,0.0048617,3.85E-15,6.54E-05
661,0.004289,3.13E-15,5.77E-05
662,0.0037683,2.59E-15,5.07E-05
663,0.0032972,2.17E-15,4.43E-05
664,0.0028732,1.83E-15,3.86E-05
665,0.0024934,1.56E-15,3.35E-05
666,0.002155,1.33E-15,2.90E-05
667,0.0018548,1.13E-15,2.49E-05
668,0.00159,9.63E-16,2.14E-05
669,0.0013573,8.18E-16,1.82E-05
670,0.001154,6.94E-16,1.55E-05
671,0.00097704,5.86E-16,1.31E-05
672,0.00082386,4.93E-16,1.11E-05
673,0.00069184,4.14E-16,9.30E-06
674,0.0005786,3.46E-16,7.78E-06
675,0.00048191,2.88E-16,6.48E-06
676,0.00039973,2.39E-16,5.37E-06
677,0.00033021,1.97E-16,4.44E-06
678,0.00027165,1.62E-16,3.65E-06
679,0.00022257,1.33E-16,2.99E-06
680,0.00018161,1.08E-16,2.44E-06
681,0.00014757,8.81E-17,1.98E-06
682,0.00011943,7.13E-17,1.61E-06
683,9.63E-05,5.75E-17,1.29E-06
684,7.73E-05,4.61E-17,1.04E-06
685,6.18E-05,3.69E-17,8.30E-07
686,4.92E-05,2.94E-17,6.61E-07
687,3.90E-05,2.33E-17,5.24E-07
688,3.08E-05,1.84E-17,4.14E-07
689,2.42E-05,1.45E-17,3.25E-07
690,1.90E-05,1.13E-17,2.55E-07
691,1.48E-05,8.83E-18,1.99E-07
692,1.15E-05,6.85E-18,1.54E-07
693,8.88E-06,5.30E-18,1.19E-07
694,6.84E-06,4.08E-18,9.19E-08
695,5.25E-06,3.13E-18,7.05E-08
696,4.01E-06,2.39E-18,5.39E-08
697,3.05E-06,1.82E-18,4.10E-08
698,2.31E-06,1.38E-18,3.11E-08
