,R,G,B
390,3.61E-277,2.51E-278,1.94E-267
391,2.64E-270,1.83E-271,1.42E-260
392,1.57E-263,1.09E-264,8.45E-254
393,7.61E-257,5.28E-258,4.09E-247
394,2.99E-250,2.08E-251,1.61E-240
395,9.59E-244,6.66E-245,5.16E-234
396,2.50E-237,1.74E-238,1.34E-227
397,5.29E-231,3.68E-232,2.85E-221
398,9.12E-225,6.33E-226,4.90E-215
399,1.28E-218,8.87E-220,6.87E-209
400,1.46E-212,1.01E-213,7.83E-203
401,1.35E-206,9.37E-208,7.26E-197
402,1.02E-200,7.07E-202,5.47E-191
403,6.24E-195,4.33E-196,3.35E-185
404,3.11E-189,2.16E-190,1.67E-179
405,1.26E-183,8.77E-185,6.79E-174
406,4.16E-178,2.89E-179,2.24E-168
407,1.12E-172,7.76E-174,6.01E-163
408,2.44E-167,1.69E-168,1.31E-157
409,4.33E-162,3.01E-163,2.33E-152
410,6.25E-157,4.34E-158,3.36E-147
411,7.34E-152,5.10E-153,3.95E-142
412,7.01E-147,4.87E-148,3.77E-137
413,5.44E-142,3.78E-143,2.93E-132
414,3.44E-137,2.39E-138,1.85E-127
415,1.77E-132,1.23E-133,9.50E-123
416,7.39E-128,5.13E-129,3.97E-118
417,2.51E-123,1.74E-124,1.35E-113
418,6.94E-119,4.82E-120,3.73E-109
419,1.56E-114,1.08E-115,8.39E-105
420,2.85E-110,1.98E-111,1.54E-100
421,4.25E-106,2.95E-107,2.28E-96
422,5.14E-102,3.57E-103,2.76E-92
423,5.06E-98,3.51E-99,2.72E-88
424,4.05E-94,2.81E-95,2.18E-84
425,2.63E-90,1.83E-91,1.42E-80
426,1.39E-86,9.69E-88,7.50E-77
427,6.00E-83,4.17E-84,3.23E-73
428,2.10E-79,1.46E-80,1.13E-69
429,5.99E-76,4.16E-77,3.22E-66
430,1.39E-72,9.64E-74,7.46E-63
431,2.61E-69,1.82E-70,1.41E-59
432,4.01E-66,2.78E-67,2.16E-56
433,5.00E-63,3.47E-64,2.69E-53
434,5.06E-60,3.52E-61,2.72E-50
435,4.18E-57,2.90E-58,2.25E-47
436,2.80E-54,1.95E-55,1.51E-44
437,1.53E-51,1.06E-52,8.22E-42
438,6.78E-49,4.71E-50,3.64E-39
439,2.45E-46,1.70E-47,1.32E-36
440,7.18E-44,4.99E-45,3.86E-34
441,1.71E-41,1.19E-42,9.21E-32
442,3.33E-39,2.31E-40,1.79E-29
443,5.25E-37,3.65E-38,2.82E-27
444,6.75E-35,4.69E-36,3.63E-25
445,7.05E-33,4.89E-34,3.79E-23
446,5.99E-31,4.16E-32,3.22E-21
447,4.14E-29,2.87E-30,2.22E-19
448,2.32E-27,1.61E-28,1.25E-17
449,1.06E-25,7.38E-27,5.71E-16
450,3.95E-24,2.74E-25,2.12E-14
451,1.19E-22,8.30E-24,6.42E-13
