,R,G,B
390,5.78E-11,1.65E-16,9.62E-06
391,7.19E-11,2.05E-16,1.20E-05
392,8.92E-11,2.54E-16,1.48E-05
393,1.10E-10,3.14E-16,1.83E-05
394,1.36E-10,3.87E-16,2.26E-05
395,1.67E-10,4.75E-16,2.77E-05
396,2.04E-10,5.82E-16,3.40E-05
397,2.49E-10,7.11E-16,4.15E-05
398,3.04E-10,8.65E-16,5.05E-05
399,3.68E-10,1.05E-15,6.13E-05
400,4.46E-10,1.27E-15,7.41E-05
401,5.38E-10,1.53E-15,8.94E-05
402,6.46E-10,1.84E-15,0.00010747
403,7.75E-10,2.21E-15,0.00012884
404,9.26E-10,2.64E-15,0.00015398
405,1.10E-09,3.14E-15,0.00018346
406,1.31E-09,3.74E-15,0.00021793
407,1.55E-09,4.42E-15,0.00025808
408,1.83E-09,5.22E-15,0.0003047
409,2.16E-09,6.15E-15,0.00035864
410,2.53E-09,7.21E-15,0.00042084
411,2.96E-09,8.44E-15,0.00049233
412,3.45E-09,9.84E-15,0.00057421
413,4.02E-09,1.14E-14,0.00066767
414,4.66E-09,1.33E-14,0.00077396
415,5.38E-09,1.53E-14,0.00089445
416,6.20E-09,1.77E-14,0.0010305
417,7.12E-09,2.03E-14,0.0011837
418,8.15E-09,2.32E-14,0.0013555
419,9.31E-09,2.65E-14,0.0015475
420,1.06E-08,3.02E-14,0.0017614
421,1.20E-08,3.43E-14,0.0019986
422,1.36E-08,3.88E-14,0.0022609
423,1.53E-08,4.37E-14,0.0025499
424,1.72E-08,4.91E-14,0.002867
425,1.93E-08,5.51E-14,0.0032137
426,2.16E-08,6.16E-14,0.0035913
427,2.41E-08,6.86E-14,0.0040011
428,2.67E-08,7.62E-14,0.0044441
429,2.96E-08,8.43E-14,0.0049211
430,3.27E-08,9.31E-14,0.0054327
431,3.60E-08,1.02E-13,0.0059791
432,3.95E-08,1.12E-13,0.0065605
433,4.32E-08,1.23E-13,0.0071765
434,4.71E-08,1.34E-13,0.0078263
435,5.12E-08,1.46E-13,0.0085091
436,5.55E-08,1.58E-13,0.0092231
437,5.99E-08,1.71E-13,0.0099667
438,6.46E-08,1.84E-13,0.010737
439,6.94E-08,1.98E-13,0.011532
440,7.43E-08,2.12E-13,0.012348
441,7.93E-08,2.26E-13,0.013182
442,8.44E-08,2.40E-13,0.014029
443,8.95E-08,2.55E-13,0.014885
444,9.47E-08,2.70E-13,0.015745
445,9.99E-08,2.85E-13,0.016603
446,1.05E-07,2.99E-13,0.017456
447,1.10E-07,3.14E-13,0.018296
448,1.15E-07,3.28E-13,0.019118
449,1.20E-07,3.41E-13,0.019916
450,1.24E-07,3.55E-13,0.020684
451,1.29E-07,3.67E-13,0.021417
452,1.33E-07,3.79E-13,0.022108
453,1.37E-07,3.90E-13,0.022751
454,1.40E-07,4.00E-13,0.023342
455,1.44E-07,4.09E-13,0.023875
456,1.46E-07,4.17E-13,0.024346
457,1.49E-07,4.24E-13,0.024751
458,1.51E-07,4.30E-13,0.025086
459,1.52E-07,4.34E-13,0.025347
460,1.54E-07,4.38E-13,0.025534
461,1.54E-07,4.40E-13,0.025643
462,1.54E-07,4.40E-13,0.025674
463,1.54E-07,4.39E-13,0.025627
464,1.53E-07,4.37E-13,0.025503
465,1.52E-07,4.34E-13,0.025301
466,1.51E-07,4.29E-13,0.025024
467,1.48E-07,4.23E-13,0.024676
468,1.46E-07,4.16E-13,0.024257
469,1.43E-07,4.07E-13,0.023774
470,1.40E-07,3.98E-13,0.023228
471,1.36E-07,3.88E-13,0.022627
472,1.32E-07,3.77E-13,0.021973
473,1.28E-07,3.65E-13,0.021274
474,1.24E-07,3.52E-13,0.020533
475,1.19E-07,3.39E-13,0.019759
476,1.14E-07,3.25E-13,0.018955
477,1.09E-07,3.11E-13,0.018129
478,1.04E-07,2.96E-13,0.017286
479,9.88E-08,2.82E-13,0.016432
480,9.37E-08,2.67E-13,0.015573
481,8.85E-08,2.52E-13,0.014713
482,8.34E-08,2.38E-13,0.013859
483,7.83E-08,2.23E-13,0.013014
484,7.33E-08,2.09E-13,0.012184
485,6.84E-08,1.95E-13,0.011372
486,6.36E-08,1.81E-13,0.010581
487,5.90E-08,1.68E-13,0.0098157
488,5.46E-08,1.56E-13,0.0090779
489,5.03E-08,1.43E-13,0.00837
490,4.63E-08,1.32E-13,0.0076937
491,4.24E-08,1.21E-13,0.0070505
492,3.87E-08,1.10E-13,0.0064414
493,3.53E-08,1.01E-13,0.005867
494,3.20E-08,9.13E-14,0.0053276
495,2.90E-08,8.27E-14,0.0048229
496,2.62E-08,7.46E-14,0.0043528
497,2.36E-08,6.71E-14,0.0039165
498,2.11E-08,6.02E-14,0.0035133
499,1.89E-08,5.39E-14,0.0031419
500,1.68E-08,4.80E-14,0.0028012
501,1.50E-08,4.27E-14,0.0024899
502,1.33E-08,3.78E-14,0.0022064
503,1.17E-08,3.34E-14,0.0019492
504,1.03E-08,2.94E-14,0.0017168
505,9.07E-09,2.58E-14,0.0015074
506,7.94E-09,2.26E-14,0.0013196
