,R,G,B
509,2.51E-14,1.74E-11,7.95E-06
510,1.69E-14,1.03E-10,5.33E-06
511,1.12E-14,5.71E-10,3.55E-06
512,7.39E-15,2.93E-09,2.34E-06
513,4.83E-15,1.40E-08,1.53E-06
514,3.12E-15,6.21E-08,9.87E-07
515,2.00E-15,2.56E-07,6.33E-07
516,1.27E-15,9.83E-07,4.02E-07
517,8.04E-16,3.50E-06,2.53E-07
518,5.09E-16,1.16E-05,1.58E-07
519,3.36E-16,3.57E-05,9.77E-08
520,2.68E-16,0.00010234,5.99E-08
521,3.24E-16,0.00027237,3.63E-08
522,5.87E-16,0.00067379,2.19E-08
523,1.23E-15,0.0015494,1.30E-08
524,2.57E-15,0.0033121,7.71E-09
525,5.07E-15,0.0065811,4.51E-09
526,9.35E-15,0.012156,2.62E-09
527,1.61E-14,0.02087,1.51E-09
528,2.56E-14,0.033309,8.58E-10
529,3.80E-14,0.049416,4.85E-10
530,5.24E-14,0.068148,2.71E-10
531,6.72E-14,0.08736,1.51E-10
532,8.00E-14,0.1041,8.30E-11
533,8.87E-14,0.11531,4.54E-11
534,9.13E-14,0.11873,2.46E-11
535,8.74E-14,0.11364,1.33E-11
536,7.77E-14,0.1011,7.19E-12
537,6.43E-14,0.083614,3.86E-12
538,4.94E-14,0.064279,2.07E-12
539,3.53E-14,0.045935,1.11E-12
540,2.35E-14,0.030514,5.87E-13
541,1.45E-14,0.018842,3.07E-13
542,8.31E-15,0.010815,1.58E-13
543,4.44E-15,0.0057703,7.98E-14
544,2.20E-15,0.0028619,3.94E-14
545,1.01E-15,0.0013194,1.90E-14
546,4.35E-16,0.00056545,8.99E-15
547,1.73E-16,0.00022526,4.17E-15
548,6.41E-17,8.34E-05,1.91E-15
549,2.21E-17,2.87E-05,8.70E-16
550,7.06E-18,9.19E-06,3.94E-16
551,2.10E-18,2.73E-06,1.78E-16
552,5.81E-19,7.56E-07,7.99E-17
553,1.49E-19,1.94E-07,3.59E-17
554,3.62E-20,4.64E-08,1.60E-17
555,9.81E-21,1.03E-08,7.12E-18
556,7.86E-21,2.13E-09,3.14E-18
557,2.05E-20,4.08E-10,1.37E-18
558,6.46E-20,7.28E-11,5.96E-19
559,2.03E-19,1.21E-11,2.56E-19
560,6.28E-19,1.86E-12,1.09E-19
561,1.91E-18,2.66E-13,4.62E-20
562,5.73E-18,3.55E-14,1.93E-20
563,1.69E-17,4.39E-15,8.02E-21
564,4.91E-17,5.06E-16,3.30E-21
565,1.40E-16,5.41E-17,1.34E-21
566,3.94E-16,5.38E-18,5.42E-22
567,1.09E-15,4.97E-19,2.17E-22
568,2.97E-15,4.27E-20,8.60E-23
569,7.95E-15,3.41E-21,3.38E-23
570,2.10E-14,2.53E-22,1.32E-23
571,5.44E-14,1.75E-23,5.08E-24
572,1.39E-13,1.13E-24,1.95E-24
573,3.49E-13,9.16E-26,7.51E-25
574,8.62E-13,6.48E-26,3.17E-25
575,2.10E-12,1.49E-25,2.01E-25
576,5.03E-12,3.56E-25,2.74E-25
577,1.18E-11,8.39E-25,5.71E-25
578,2.75E-11,1.95E-24,1.30E-24
579,6.27E-11,4.44E-24,2.95E-24
580,1.41E-10,9.97E-24,6.62E-24
581,3.11E-10,2.20E-23,1.46E-23
582,6.77E-10,4.79E-23,3.18E-23
583,1.45E-09,1.03E-22,6.82E-23
584,3.05E-09,2.16E-22,1.44E-22
585,6.33E-09,4.48E-22,2.98E-22
586,1.29E-08,9.14E-22,6.07E-22
587,2.59E-08,1.84E-21,1.22E-21
588,5.12E-08,3.63E-21,2.41E-21
589,9.96E-08,7.05E-21,4.69E-21
590,1.91E-07,1.35E-20,8.96E-21
591,3.59E-07,2.54E-20,1.69E-20
592,6.65E-07,4.71E-20,3.13E-20
593,1.21E-06,8.59E-20,5.71E-20
594,2.18E-06,1.54E-19,1.02E-19
595,3.84E-06,2.72E-19,1.81E-19
596,6.68E-06,4.73E-19,3.14E-19
597,1.14E-05,8.09E-19,5.38E-19
598,1.92E-05,1.36E-18,9.05E-19
599,3.19E-05,2.26E-18,1.50E-18
600,5.19E-05,3.68E-18,2.44E-18
601,8.33E-05,5.90E-18,3.92E-18
602,0.00013157,9.32E-18,6.19E-18
603,0.00020442,1.45E-17,9.62E-18
604,0.00031256,2.21E-17,1.47E-17
605,0.00047031,3.33E-17,2.21E-17
606,0.00069642,4.93E-17,3.28E-17
607,0.0010149,7.19E-17,4.77E-17
608,0.0014554,1.03E-16,6.85E-17
609,0.0020539,1.45E-16,9.66E-17
610,0.0028526,2.02E-16,1.34E-16
611,0.0038988,2.76E-16,1.83E-16
612,0.0052441,3.71E-16,2.47E-16
613,0.0069415,4.92E-16,3.27E-16
614,0.0090421,6.40E-16,4.25E-16
615,0.011591,8.21E-16,5.45E-16
616,0.014623,1.04E-15,6.88E-16
617,0.018154,1.29E-15,8.54E-16
618,0.02218,1.57E-15,1.04E-15
619,0.026668,1.89E-15,1.25E-15
620,0.031554,2.23E-15,1.48E-15
621,0.036742,2.60E-15,1.73E-15
622,0.042102,2.98E-15,1.98E-15
623,0.047479,3.36E-15,2.23E-15
624,0.05269,3.73E-15,2.48E-15
625,0.057544,4.08E-15,2.71E-15
626,0.061847,4.38E-15,2.91E-15
627,0.065414,4.63E-15,3.08E-15
628,0.068088,4.82E-15,3.20E-15
629,0.069744,4.94E-15,3.28E-15
630,0.070305,4.98E-15,3.31E-15
631,0.069744,4.94E-15,3.28E-15
632,0.068088,4.82E-15,3.20E-15
633,0.065414,4.63E-15,3.08E-15
634,0.061847,4.38E-15,2.91E-15
635,0.057544,4.08E-15,2.71E-15
636,0.05269,3.73E-15,2.48E-15
637,0.047479,3.36E-15,2.23E-15
638,0.042102,2.98E-15,1.98E-15
639,0.036742,2.60E-15,1.73E-15
640,0.031554,2.23E-15,1.48E-15
641,0.026668,1.89E-15,1.25E-15
642,0.02218,1.57E-15,1.04E-15
643,0.018154,1.29E-15,8.54E-16
644,0.014623,1.04E-15,6.88E-16
645,0.011591,8.21E-16,5.45E-16
646,0.0090421,6.40E-16,4.25E-16
647,0.0069415,4.92E-16,3.27E-16
648,0.0052441,3.71E-16,2.47E-16
649,0.0038988,2.76E-16,1.83E-16
650,0.0028526,2.02E-16,1.34E-16
651,0.0020539,1.45E-16,9.66E-17
652,0.0014554,1.03E-16,6.85E-17
653,0.0010149,7.19E-17,4.77E-17
654,0.00069642,4.93E-17,3.28E-17
655,0.00047031,3.33E-17,2.21E-17
656,0.00031256,2.21E-17,1.47E-17
657,0.00020442,1.45E-17,9.62E-18
658,0.00013157,9.32E-18,6.19E-18
659,8.33E-05,5.90E-18,3.92E-18
660,5.19E-05,3.68E-18,2.44E-18
661,3.19E-05,2.26E-18,1.50E-18
662,1.92E-05,1.36E-18,9.05E-19
663,1.14E-05,8.09E-19,5.38E-19
664,6.68E-06,4.73E-19,3.14E-19
665,3.84E-06,2.72E-19,1.81E-19
666,2.18E-06,1.54E-19,1.02E-19
667,1.21E-06,8.59E-20,5.71E-20
668,6.65E-07,4.71E-20,3.13E-20
669,3.59E-07,2.54E-20,1.69E-20
670,1.91E-07,1.35E-20,8.96E-21
671,9.96E-08,7.05E-21,4.69E-21
672,5.12E-08,3.63E-21,2.41E-21
673,2.59E-08,1.84E-21,1.22E-21
674,1.29E-08,9.14E-22,6.07E-22
675,6.33E-09,4.48E-22,2.98E-22
676,3.05E-09,2.16E-22,1.44E-22
677,1.45E-09,1.03E-22,6.82E-23
678,6.77E-10,4.79E-23,3.18E-23
679,3.11E-10,2.20E-23,1.46E-23
680,1.41E-10,9.97E-24,6.62E-24
681,6.27E-11,4.44E-24,2.95E-24
682,2.75E-11,1.95E-24,1.29E-24
683,1.18E-11,8.39E-25,5.57E-25
684,5.03E-12,3.56E-25,2.36E-25
685,2.10E-12,1.49E-25,9.87E-26
686,8.62E-13,6.11E-26,4.06E-26
687,3.49E-13,2.47E-26,1.64E-26
688,1.39E-13,9.83E-27,6.53E-27
689,5.44E-14,3.85E-27,2.56E-27
690,2.10E-14,1.48E-27,9.86E-28
691,7.95E-15,5.63E-28,3.74E-28
692,2.97E-15,2.10E-28,1.40E-28
693,1.09E-15,7.72E-29,5.13E-29
694,3.94E-16,2.79E-29,1.85E-29
695,1.40E-16,9.93E-30,6.59E-30
696,4.91E-17,3.48E-30,2.31E-30
697,1.69E-17,1.20E-30,7.96E-31
698,5.73E-18,4.06E-31,2.70E-31
699,1.91E-18,1.35E-31,9.00E-32
700,6.28E-19,4.45E-32,2.96E-32
701,2.03E-19,1.44E-32,9.55E-33
702,6.46E-20,4.57E-33,3.04E-33
703,2.02E-20,1.43E-33,9.51E-34
704,6.22E-21,4.41E-34,2.93E-34
705,1.89E-21,1.34E-34,8.87E-35
706,5.63E-22,3.98E-35,2.65E-35
707,1.65E-22,1.17E-35,7.77E-36
708,4.77E-23,3.38E-36,2.24E-36
709,1.36E-23,9.60E-37,6.38E-37
710,3.79E-24,2.69E-37,1.78E-37
711,1.04E-24,7.40E-38,4.91E-38
712,2.83E-25,2.00E-38,1.33E-38
713,7.54E-26,5.34E-39,3.55E-39
714,1.98E-26,1.40E-39,9.31E-40
715,5.11E-27,3.62E-40,2.41E-40
716,1.30E-27,9.20E-41,6.11E-41
717,3.25E-28,2.30E-41,1.53E-41
718,7.99E-29,5.66E-42,3.76E-42
719,1.94E-29,1.37E-42,9.11E-43
720,4.61E-30,3.27E-43,2.17E-43
721,1.08E-30,7.66E-44,5.09E-44
722,2.50E-31,1.77E-44,1.18E-44
723,5.67E-32,4.02E-45,2.67E-45
724,1.27E-32,8.98E-46,5.97E-46
725,2.79E-33,1.98E-46,1.31E-46
726,6.04E-34,4.28E-47,2.84E-47
727,1.29E-34,9.12E-48,6.06E-48
728,2.70E-35,1.91E-48,1.27E-48
729,5.57E-36,3.94E-49,2.62E-49
730,1.13E-36,8.01E-50,5.32E-50
731,2.26E-37,1.60E-50,1.06E-50
732,4.44E-38,3.15E-51,2.09E-51
733,8.60E-39,6.09E-52,4.05E-52
734,1.64E-39,1.16E-52,7.70E-53
735,3.07E-40,2.17E-53,1.44E-53
736,5.66E-41,4.01E-54,2.66E-54
737,1.03E-41,7.28E-55,4.83E-55
738,1.84E-42,1.30E-55,8.63E-56
739,3.23E-43,2.28E-56,1.52E-56
740,5.58E-44,3.95E-57,2.63E-57
741,9.50E-45,6.73E-58,4.47E-58
742,1.59E-45,1.13E-58,7.49E-59
743,2.62E-46,1.86E-59,1.23E-59
744,4.26E-47,3.02E-60,2.00E-60
745,6.80E-48,4.81E-61,3.20E-61
746,1.07E-48,7.56E-62,5.03E-62
747,1.65E-49,1.17E-62,7.77E-63
748,2.51E-50,1.78E-63,1.18E-63
749,3.76E-51,2.67E-64,1.77E-64
750,5.55E-52,3.93E-65,2.61E-65
751,8.05E-53,5.70E-66,3.79E-66
752,1.15E-53,8.13E-67,5.40E-67
753,1.61E-54,1.14E-67,7.59E-68
754,2.23E-55,1.58E-68,1.05E-68
755,3.03E-56,2.15E-69,1.43E-69
756,4.06E-57,2.88E-70,1.91E-70
757,5.35E-58,3.79E-71,2.52E-71
758,6.94E-59,4.91E-72,3.26E-72
759,8.85E-60,6.27E-73,4.16E-73
760,1.11E-60,7.87E-74,5.23E-74
761,1.37E-61,9.72E-75,6.46E-75
762,1.67E-62,1.18E-75,7.85E-76
763,2.00E-63,1.41E-76,9.40E-77
764,2.35E-64,1.67E-77,1.11E-77
765,2.73E-65,1.93E-78,1.28E-78
766,3.11E-66,2.20E-79,1.46E-79
767,3.49E-67,2.47E-80,1.64E-80
768,3.85E-68,2.73E-81,1.81E-81
769,4.19E-69,2.97E-82,1.97E-82
770,4.48E-70,3.17E-83,2.11E-83
771,4.72E-71,3.34E-84,2.22E-84
772,4.89E-72,3.46E-85,2.30E-85
773,4.98E-73,3.53E-86,2.34E-86
774,5.00E-74,3.54E-87,2.35E-87
775,4.94E-75,3.50E-88,2.32E-88
776,4.80E-76,3.40E-89,2.26E-89
777,4.59E-77,3.25E-90,2.16E-90
778,4.31E-78,3.06E-91,2.03E-91
779,4.00E-79,2.83E-92,1.88E-92
780,3.64E-80,2.58E-93,1.71E-93
