,R,G,B
390,7.95E-22,3.97E-25,2.51E-13
391,1.57E-21,7.84E-25,4.96E-13
392,3.07E-21,1.53E-24,9.71E-13
393,5.95E-21,2.97E-24,1.88E-12
394,1.14E-20,5.71E-24,3.62E-12
395,2.18E-20,1.09E-23,6.89E-12
396,4.11E-20,2.05E-23,1.30E-11
397,7.68E-20,3.84E-23,2.43E-11
398,1.42E-19,7.11E-23,4.50E-11
399,2.61E-19,1.31E-22,8.27E-11
400,4.76E-19,2.38E-22,1.50E-10
401,8.58E-19,4.29E-22,2.71E-10
402,1.53E-18,7.66E-22,4.85E-10
403,2.71E-18,1.36E-21,8.58E-10
404,4.76E-18,2.38E-21,1.51E-09
405,8.28E-18,4.14E-21,2.62E-09
406,1.43E-17,7.13E-21,4.51E-09
407,2.44E-17,1.22E-20,7.71E-09
408,4.13E-17,2.06E-20,1.30E-08
409,6.92E-17,3.46E-20,2.19E-08
410,1.15E-16,5.74E-20,3.63E-08
411,1.89E-16,9.46E-20,5.99E-08
412,3.09E-16,1.54E-19,9.77E-08
413,5.00E-16,2.50E-19,1.58E-07
414,8.01E-16,4.00E-19,2.53E-07
415,1.27E-15,6.35E-19,4.02E-07
416,2.00E-15,1.00E-18,6.33E-07
417,3.12E-15,1.56E-18,9.87E-07
418,4.83E-15,2.41E-18,1.53E-06
419,7.39E-15,3.69E-18,2.34E-06
420,1.12E-14,5.60E-18,3.55E-06
421,1.69E-14,8.43E-18,5.33E-06
422,2.51E-14,1.26E-17,7.95E-06
423,3.71E-14,1.86E-17,1.17E-05
424,5.44E-14,2.72E-17,1.72E-05
425,7.89E-14,3.94E-17,2.49E-05
426,1.13E-13,5.66E-17,3.58E-05
427,1.61E-13,8.06E-17,5.10E-05
428,2.28E-13,1.14E-16,7.20E-05
429,3.19E-13,1.59E-16,0.00010077
430,4.42E-13,2.21E-16,0.00013968
431,6.07E-13,3.03E-16,0.00019187
432,8.26E-13,4.13E-16,0.00026119
433,1.11E-12,5.57E-16,0.00035232
434,1.49E-12,7.44E-16,0.00047097
435,1.97E-12,9.86E-16,0.00062389
436,2.59E-12,1.29E-15,0.00081901
437,3.37E-12,1.68E-15,0.0010654
438,4.34E-12,2.17E-15,0.0013735
439,5.55E-12,2.77E-15,0.0017546
440,7.03E-12,3.51E-15,0.0022212
441,8.81E-12,4.40E-15,0.0027866
442,1.10E-11,5.47E-15,0.0034643
443,1.35E-11,6.74E-15,0.0042679
444,1.65E-11,8.23E-15,0.0052105
445,1.99E-11,9.96E-15,0.0063038
446,2.39E-11,1.19E-14,0.0075576
447,2.84E-11,1.42E-14,0.008979
448,3.34E-11,1.67E-14,0.010571
449,3.90E-11,1.95E-14,0.012334
450,4.51E-11,2.25E-14,0.01426
451,5.17E-11,2.58E-14,0.016339
452,5.87E-11,2.93E-14,0.018551
453,6.60E-11,3.30E-14,0.020872
454,7.36E-11,3.68E-14,0.023273
455,8.13E-11,4.06E-14,0.025714
456,8.91E-11,4.45E-14,0.028156
457,9.66E-11,4.83E-14,0.030551
458,1.04E-10,5.19E-14,0.03285
459,1.11E-10,5.53E-14,0.035003
460,1.17E-10,5.84E-14,0.036961
461,1.22E-10,6.11E-14,0.038676
462,1.27E-10,6.34E-14,0.040105
463,1.30E-10,6.51E-14,0.041211
464,1.33E-10,6.63E-14,0.041965
465,1.34E-10,6.69E-14,0.042348
466,1.34E-10,6.69E-14,0.042348
467,1.33E-10,6.63E-14,0.041965
468,1.30E-10,6.51E-14,0.041211
469,1.27E-10,6.34E-14,0.040105
470,1.22E-10,6.11E-14,0.038676
471,1.17E-10,5.84E-14,0.036961
472,1.11E-10,5.53E-14,0.035003
473,1.04E-10,5.19E-14,0.03285
474,9.66E-11,4.83E-14,0.030551
475,8.91E-11,4.45E-14,0.028156
476,8.13E-11,4.06E-14,0.025714
477,7.36E-11,3.68E-14,0.023273
478,6.60E-11,3.30E-14,0.020872
479,5.87E-11,2.93E-14,0.018551
480,5.17E-11,2.58E-14,0.016339
481,4.51E-11,2.25E-14,0.01426
482,3.90E-11,1.95E-14,0.012334
483,3.34E-11,1.67E-14,0.010571
484,2.84E-11,1.42E-14,0.008979
485,2.39E-11,1.19E-14,0.0075576
486,1.99E-11,9.96E-15,0.0063038
487,1.65E-11,8.23E-15,0.0052105
488,1.35E-11,6.74E-15,0.0042679
489,1.10E-11,5.47E-15,0.0034643
490,8.81E-12,4.40E-15,0.0027866
491,7.03E-12,3.51E-15,0.0022212
492,5.55E-12,2.77E-15,0.0017546
493,4.34E-12,2.17E-15,0.0013735
494,3.37E-12,1.68E-15,0.0010654
495,2.59E-12,1.29E-15,0.00081901
496,1.97E-12,9.86E-16,0.00062389
497,1.49E-12,7.44E-16,0.00047097
498,1.11E-12,5.57E-16,0.00035232
499,8.26E-13,4.13E-16,0.00026119
500,6.07E-13,3.03E-16,0.00019187
501,4.42E-13,2.22E-16,0.00013968
502,3.19E-13,1.68E-16,0.00010077
503,2.28E-13,1.99E-16,7.20E-05
504,1.61E-13,8.64E-16,5.10E-05
505,1.13E-13,6.77E-15,3.58E-05
506,7.89E-14,5.35E-14,2.49E-05
507,5.44E-14,3.95E-13,1.72E-05
508,3.71E-14,2.72E-12,1.17E-05
